"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"outside options",">","fairness","pos","Evolutionary Biology","none","","none","In absence of outside options, there is no reasons why interactions should be guided by fairness considerations. Such distributions are instead, determined by power struggles","baumard2013mutualistic"
"partner choice",">","cooperation","none","Evolutionary Biology","none","","none","","baumard2013mutualistic"
"reputation",">","cooperation","none","Evolutionary Biology","none","","none","","baumard2013mutualistic"
